w,S_init,seed,converged_S,eval_mean_S,profit,collapsed,collapsed_fixed
0.5,0.0,45,2.680594088882208,68.61737370491028,-128.1,0,1
0.5,0.0,50,1.8292891949415209,87.87193894386292,-128.1,0,1
0.5,0.0,48,0.0555764377117157,0.0,-128.1,1,1
0.5,0.0,44,0.0190328657627105,0.0,-128.1,1,1
0.5,0.0,43,4.746209823340178,119.33563649654388,-128.1,0,1
0.5,0.0,42,0.659119912981987,0.0,-128.1,1,1
0.5,0.0,51,0.3016465812921524,0.0,-128.1,1,1
0.5,0.0,46,0.6269755154848099,0.0,-128.1,1,1
0.5,0.0,47,0.0986282169818878,0.0,-128.1,1,1
0.5,0.0,49,1.726510727405548,0.0,-128.1,1,1
0.5,0.0,52,0.4818110853433609,0.0,-128.1,1,1
0.5,50.0,45,2.5733761113882063,0.0,-128.1,1,1
0.5,50.0,43,7.3799937208369375,202.92996987700465,-128.1,0,1
0.5,0.0,53,1.0198149755597117,18.35806667804718,-128.1,0,1
0.5,50.0,44,0.0007226276397705,0.0,-128.1,1,1
0.5,50.0,46,0.4503223383426666,0.0,-128.1,1,1
0.5,50.0,42,0.67649343252182,0.0,-128.1,1,1
0.5,50.0,48,0.2707263326644897,0.0,-128.1,1,1
0.5,50.0,47,0.0417665976285934,0.0,-128.1,1,1
0.5,50.0,49,0.7512602066993713,0.0,-128.1,1,1
0.5,50.0,50,0.1393711376190185,0.0,-128.1,1,1
0.5,50.0,51,0.4242966037988662,0.0,-128.1,1,1
0.5,50.0,53,0.1415356040000915,0.0,-128.1,1,1
0.5,50.0,52,0.3561719876527786,0.0,-128.1,1,1
0.5,150.0,42,0.7405497181415558,0.0,-128.1,1,1
0.5,150.0,44,0.0070309817790985,0.0,-128.1,1,1
0.5,150.0,43,4.069703200161457,0.0,-128.1,1,1
0.5,150.0,45,1.1107905226945878,0.0,-128.1,1,1
0.5,150.0,46,0.9883004683256148,0.0,-128.1,1,1
0.5,150.0,47,0.0311131370067596,0.0,-128.1,1,1
0.5,150.0,50,0.2979530662298202,0.0,-128.1,1,1
0.5,150.0,49,0.4424001777172088,0.0,-128.1,1,1
0.5,150.0,48,0.7282162618637085,0.0,-128.1,1,1
0.5,150.0,51,0.6569116592407227,0.0,-128.1,1,1
0.5,150.0,53,0.1377376115322113,0.0,-128.1,1,1
0.5,250.0,43,2.8779881075024605,0.0,-128.1,1,1
0.5,150.0,52,0.4587624073028564,0.0,-128.1,1,1
0.5,250.0,42,0.8607325851917267,0.0,-128.1,1,1
0.5,250.0,44,0.0058333218097686,0.0,-128.1,1,1
0.5,250.0,45,2.2700276151299477,0.0,-128.1,1,1
0.5,250.0,47,0.0317161917686462,0.0,-128.1,1,1
0.5,250.0,46,1.2782233327627182,0.0,-128.1,1,1
0.5,250.0,48,0.1529905676841735,0.0,-128.1,1,1
0.5,250.0,49,0.4857180118560791,0.0,-128.1,1,1
0.5,250.0,50,0.1585701763629913,0.0,-128.1,1,1
0.5,250.0,52,0.5061867326498032,0.0,-128.1,1,1
0.5,250.0,51,0.9386735677719116,0.0,-128.1,1,1
0.5,250.0,53,0.1894708782434463,0.0,-128.1,1,1
0.85,0.0,42,17.10820538685657,500.0,460.9700000000004,0,0
0.85,0.0,43,23.29206302538514,256.9842338562012,68.2451000000001,0,0
0.85,0.0,44,13.360071597620845,147.48143404722214,-117.89530000000002,0,0
0.85,0.0,46,15.140836494788529,253.30561213195324,71.28969999999997,0,0
0.85,0.0,47,16.488337697833778,148.06070178747177,92.58790000000006,0,0
0.85,0.0,45,19.982499290071427,500.0,459.5859000000003,0,0
0.85,0.0,48,15.106766956252978,394.8398232460022,278.59499999999946,0,0
0.85,0.0,49,14.81423300979659,320.7666128873825,114.8901,0,0
0.85,0.0,50,21.6414819591213,293.07814687490463,467.3190000000003,0,0
0.85,0.0,51,11.007552987057716,431.4821660518646,466.8569999999998,0,0
0.85,0.0,52,20.742653605295345,383.0418586730957,184.18850000000023,0,0
0.85,0.0,53,33.113581692241134,345.7762524485588,483.79729999999984,0,0
0.85,50.0,42,18.212961110593753,500.0,460.9700000000004,0,0
0.85,50.0,45,20.164755420573055,500.0,460.9700000000004,0,0
0.85,50.0,43,23.219092880319803,195.7845389842987,187.77159999999995,0,0
0.85,50.0,44,13.299594019968062,61.58950924873352,396.31599999999986,0,0
0.85,50.0,46,12.706849928274751,378.15411388874054,468.3006,0,0
0.85,50.0,48,15.798257705150172,424.99247193336487,460.9700000000004,0,0
0.85,50.0,49,11.054198786765337,182.68951773643496,-128.1,0,0
0.85,50.0,47,18.267033358830957,213.35119009017944,-128.1,0,0
0.85,50.0,50,22.47694226020947,348.35420548915863,303.88399999999973,0,0
0.85,50.0,51,10.588598830774426,211.74701303243637,447.581,0,0
0.85,50.0,52,15.541277765668928,331.2153071165085,169.29100000000028,0,0
0.85,150.0,42,13.3846953387931,209.064818918705,67.59070000000024,0,0
0.85,50.0,53,14.789802927225828,122.50268459320068,9.821000000000062,0,0
0.85,150.0,44,10.05248535811901,0.0,88.35320000000002,0,0
0.85,150.0,43,17.128553691878913,57.08007514476776,246.0827,0,0
0.85,150.0,45,13.864559275244828,283.0548733472824,466.09100000000007,0,0
0.85,150.0,46,13.187894987016916,0.0,34.09120000000014,0,0
0.85,150.0,47,19.40168049260974,59.98021364212036,-108.8680000000001,0,0
0.85,150.0,48,13.730469047129157,116.7370080947876,194.5467,0,0
0.85,150.0,49,13.838373379558323,121.54850363731384,121.34969999999994,0,0
0.85,150.0,50,17.206443817438558,255.3154807537794,359.5548999999996,0,0
0.85,150.0,51,9.294537439439445,214.61036056280136,57.54099999999984,0,0
0.85,150.0,52,11.461922030597924,302.07204073667526,460.9700000000004,0,0
0.85,150.0,53,14.61854472577572,52.82752215862274,-61.866900000000065,0,0
0.85,250.0,44,14.087031365185975,0.0,-128.1,1,0
0.85,250.0,42,15.414223615825176,54.48450148105621,352.55879999999985,0,0
0.85,250.0,43,19.23037546798587,0.0,185.2626,0,0
0.85,250.0,45,14.204115877021104,123.76758456230164,105.9659999999998,0,0
0.85,250.0,47,17.57576421201229,0.0,-128.1,1,0
0.85,250.0,46,9.53824500516057,52.3773729801178,-45.0266,0,0
0.85,250.0,48,15.641805504262448,0.0,-128.1,1,0
0.85,250.0,50,14.80690972507,0.0,-70.52020000000005,0,0
0.85,250.0,52,12.55973860397935,0.0,-128.1,1,0
0.85,250.0,49,9.88411800265312,0.0,-128.1,1,1
0.85,250.0,51,10.989306931197644,95.0830578804016,-52.87600000000003,0,0
1.0,0.0,42,31.817498756945135,469.6376323699951,461.52360000000033,0,0
0.85,250.0,53,15.635558325052262,3.429412841796875,-30.72880000000004,0,0
1.0,0.0,43,34.960499960416925,368.3351203799248,390.01960000000014,0,0
1.0,0.0,44,24.0628987737,411.7371737957001,408.5339999999993,0,0
1.0,0.0,45,31.76043877163902,500.0,456.3959999999999,0,0
1.0,0.0,46,17.13261114470661,500.0,460.9700000000004,0,0
1.0,0.0,48,34.19951667523128,411.4367812871933,402.4892000000001,0,0
1.0,0.0,47,89.23447376319673,500.0,382.0392,0,0
1.0,0.0,50,39.9179914472159,500.0,461.5144000000002,0,0
1.0,0.0,49,26.561542596668005,419.94595527648926,455.87000000000046,0,0
1.0,0.0,52,24.52483019568026,368.5632199048996,196.22439999999972,0,0
1.0,0.0,51,19.19896575496532,500.0,460.9700000000004,0,0
1.0,0.0,53,100.86636070569512,500.0,460.9260000000003,0,0
1.0,50.0,42,21.601395814921705,436.8085414171219,460.9700000000004,0,0
1.0,50.0,43,27.562837710659952,272.9809544980526,200.30049999999997,0,0
1.0,50.0,44,22.276177252838387,172.92887717485428,256.2011000000001,0,0
1.0,50.0,45,28.964523180294783,500.0,378.12000000000035,0,0
1.0,50.0,47,43.708527488159014,458.97454023361206,439.3088000000006,0,0
1.0,50.0,46,18.24317276107147,500.0,464.2403000000002,0,0
1.0,50.0,48,27.27509177539963,354.4981926679611,349.9979999999996,0,0
1.0,50.0,49,22.412417390102053,134.73688811063766,244.84779999999984,0,0
1.0,50.0,50,32.94218748357147,403.2261222600937,460.9700000000004,0,0
1.0,50.0,51,18.181817826610057,500.0,461.0732000000002,0,0
1.0,50.0,52,20.705135722792473,432.4068874120712,460.9700000000004,0,0
1.0,50.0,53,28.545953753832727,444.1353380680084,461.1682000000003,0,0
1.0,150.0,42,28.062317595439964,241.8612763285637,353.79560000000004,0,0
1.0,150.0,44,21.306486433148383,0.0,186.16980000000004,0,0
1.0,150.0,43,25.659785320535303,142.7222639322281,136.04550000000003,0,0
1.0,150.0,45,23.753483823304997,392.179399728775,460.9700000000004,0,0
1.0,150.0,46,17.28584758301731,209.10804346203804,397.0870000000001,0,0
1.0,150.0,47,32.68212165219709,198.86942580342293,192.52349999999996,0,0
1.0,150.0,48,19.873314131814983,270.6779260188341,460.0469999999997,0,0
1.0,150.0,49,16.3826361393556,180.7893067598343,321.0624000000001,0,0
1.0,150.0,50,23.606698112390003,310.2158270776272,460.9691000000004,0,0
1.0,150.0,51,17.5060492090974,294.9000597000122,462.19000000000034,0,0
1.0,150.0,52,20.21737639422994,280.1254503428936,467.2400000000007,0,0
1.0,150.0,53,22.566561005571856,199.89833235740664,281.4863999999999,0,0
1.0,250.0,42,24.584977167472243,183.81772935390472,466.65640000000013,0,0
1.0,250.0,43,27.56853020042181,0.0,196.88460000000003,0,0
1.0,250.0,44,14.516245863586663,0.0,-128.1,1,0
1.0,250.0,45,27.49510847367346,137.43100315332413,220.90800000000007,0,0
1.0,250.0,46,19.35202548261732,145.72906494140625,292.63080000000025,0,0
1.0,250.0,48,23.61770390421152,12.57912814617157,-128.1,0,0
1.0,250.0,47,37.63321026861668,3.2001137733459473,-127.3862,1,0
1.0,250.0,49,12.679260324686766,131.4917951822281,168.29100000000034,0,0
1.0,250.0,50,22.87440966106951,120.81438302993774,197.8897,0,0
1.0,250.0,52,20.227457624673843,42.34007000923157,66.92809999999997,0,0
1.0,250.0,51,19.396819657832385,146.2245136499405,286.8236000000001,0,0
1.0,250.0,53,21.25733337029815,58.427780866622925,25.680800000000016,0,0
