Lambda,Seed,Mean S,Mean Order,Mean Inventory,Lost Sales,Profit,Bullwhip,Alpha,Log_Lambda
1.0,49,131.4917951822281,1.5814814814814817,166.88064516129035,0.2386979799479381,168.68700000000032,2.056013548776895,1.0,0.0
1.0,50,120.81438302993774,0.8622222222222222,172.48172043010752,0.2089799952678631,189.0924,0.5518222083782052,1.0,0.0
1.0,48,12.57912814617157,0.0,196.59569892473115,0.5147745366701145,-128.10000000000002,0.0,1.0,0.0
1.0,51,146.2245136499405,1.0333333333333334,166.09892473118282,0.1132086359833126,286.84040000000016,1.2769454955160695,1.0,0.0
1.0,47,3.2001137733459473,0.0,196.59569892473115,0.5147745366701145,-128.10000000000002,0.0,1.0,0.0
1.0,44,0.0,0.0,196.59569892473115,0.5147745366701145,-128.10000000000002,0.0,1.0,0.0
1.0,45,137.43100315332413,2.305925925925926,159.66021505376344,0.1885022423620879,220.87500000000009,4.708114098905928,1.0,0.0
1.0,42,183.81772935390472,1.6622222222222225,155.01612903225805,0.0360338599047991,466.3858000000002,3.3871796559482674,1.0,0.0
1.0,46,145.72906494140625,2.094074074074074,157.67634408602152,0.1132086359833126,292.6020000000002,3.532763516341274,1.0,0.0
1.0,43,0.0,1.0711111111111111,174.10430107526884,0.2896293619648627,204.9191999999999,1.1111590966359706,1.0,0.0
2.0,45,123.58741462230682,0.4814814814814814,178.55591397849463,0.2972596737980967,104.4179999999998,0.3689267463037056,1.0,0.6931471805599453
2.0,42,116.59330129623412,0.3518518518518518,183.041935483871,0.3558213676482554,44.00900000000007,0.1970156145201743,1.0,0.6931471805599453
2.0,43,12.51724362373352,1.2696296296296297,172.794623655914,0.3042682889969605,97.99060000000004,1.289262805749947,1.0,0.6931471805599453
2.0,47,67.16899573802948,0.074074074074074,193.71827956989245,0.481310711612881,-91.30599999999986,0.0058414028796505,1.0,0.6931471805599453
2.0,44,88.02187442779541,1.2125925925925929,176.27849462365592,0.4016267396103393,7.706599999999961,1.840158254419544,1.0,0.6931471805599453
2.0,46,49.606531858444214,1.5548148148148149,168.79677419354837,0.2073241534847484,191.77839999999975,1.069820286606842,1.0,0.6931471805599453
2.0,48,44.60743069648743,0.7962962962962963,184.33763440860213,0.5147745366701145,-27.88800000000004,1.009091056088094,1.0,0.6931471805599453
2.0,50,75.4183977842331,0.4851851851851851,189.69462365591397,0.481310711612881,-62.18379999999996,0.09777904862043,1.0,0.6931471805599453
2.0,49,144.71030980348587,1.5925925925925926,158.93870967741935,0.1215745922476209,284.6971999999998,1.837880686532536,1.0,0.6931471805599453
2.0,51,112.32075095176695,0.7148148148148148,179.3784946236559,0.3675337064182871,35.042999999999985,0.3389075059122642,1.0,0.6931471805599453
3.0,44,0.0,0.705925925925926,184.3290322580645,0.467191717047705,-50.90220000000003,0.6114146925549797,1.0,1.0986122886681098
3.0,42,185.9724521636963,2.2874074074074073,150.97956989247314,0.0360338599047991,467.792,4.973916229125241,1.0,1.0986122886681098
3.0,43,5.181789398193359,1.191851851851852,175.0462365591398,0.3773642756968842,40.85420000000001,1.188221410093729,1.0,1.0986122886681098
3.0,45,57.68606066703797,0.617037037037037,185.91612903225808,0.4853732768739481,-41.062599999999975,0.4880083451115296,1.0,1.0986122886681098
3.0,46,80.04678785800934,0.6422222222222222,186.28817204301075,0.4453232370575559,-19.960599999999992,0.3033270173165278,1.0,1.0986122886681098
3.0,47,41.08594357967377,0.6029629629629629,178.07204301075268,0.2545351772638693,149.9848,0.673415836063897,1.0,1.0986122886681098
3.0,48,79.5467346906662,0.3881481481481481,189.13440860215056,0.4462355397444087,-20.388799999999986,0.1806820649314335,1.0,1.0986122886681098
3.0,49,15.421852469444277,1.3185185185185184,179.01290322580644,0.369188141545919,35.61240000000002,1.9260324263928232,1.0,1.0986122886681098
3.0,50,145.33116668462753,0.8703703703703703,167.18494623655914,0.1215745922476209,278.59499999999946,1.2055609209835587,1.0,1.0986122886681098
3.0,51,103.03190350532532,0.6866666666666666,181.58387096774192,0.4235636394011193,6.894599999999987,0.449435231623205,1.0,1.0986122886681098
4.0,43,52.84683406352997,1.488888888888889,175.6516129032258,0.2662951926909243,200.6038,1.572524684218672,1.0,1.3862943611198906
4.0,42,129.7004222869873,0.8911111111111111,171.52903225806452,0.2470639362122465,191.2174,0.6991764612340183,1.0,1.3862943611198906
4.0,44,36.04458272457123,0.5185185185185185,188.36989247311823,0.5147745366701145,-29.89800000000005,0.427867705772345,1.0,1.3862943611198906
4.0,45,45.65519094467163,0.0,196.59569892473115,0.5147745366701145,-128.10000000000002,0.0,1.0,1.3862943611198906
4.0,48,127.11338698863985,0.5370370370370371,176.74301075268818,0.2721618050051716,129.94899999999964,0.4589754343807936,1.0,1.3862943611198906
4.0,46,31.196564435958862,0.5162962962962963,186.47204301075269,0.3726859195488464,18.6334,0.1222484494934259,1.0,1.3862943611198906
4.0,47,89.7647887468338,0.4244444444444444,187.30537634408603,0.4553874551888167,3.72640000000006,0.1962326706580527,1.0,1.3862943611198906
4.0,49,112.74032294750214,0.6903703703703704,178.1290322580645,0.3638345902264966,96.88259999999988,0.3034716541816155,1.0,1.3862943611198906
4.0,51,71.6594010591507,1.3303703703703704,166.105376344086,0.1323150581574443,265.1475999999999,1.04753766608105,1.0,1.3862943611198906
4.0,50,3.831282258033752,0.6555555555555556,185.18172043010753,0.4667073278326333,34.112199999999966,0.8601645290251794,1.0,1.3862943611198906
5.0,44,41.97147488594055,0.7244444444444444,181.56129032258065,0.37503460230032,20.686800000000048,0.2841324147128943,1.0,1.6094379124341003
5.0,42,101.73678398132324,0.5259259259259259,183.9881720430108,0.4167172533621615,-1.720400000000047,0.1811447089589874,1.0,1.6094379124341003
5.0,43,65.23309648036957,0.4807407407407407,185.57096774193548,0.3875594400313843,44.186400000000006,0.1519651269458839,1.0,1.6094379124341003
5.0,46,59.00488793849945,0.9792592592592592,173.5204301075269,0.2109463819144008,246.6736,1.0200187715076603,1.0,1.6094379124341003
5.0,47,21.62492275238037,1.2014814814814814,179.05913978494624,0.4032608545803289,11.32480000000004,1.5207875887223772,1.0,1.6094379124341003
5.0,45,0.4682391881942749,0.9118518518518518,180.1989247311828,0.3585475533361179,48.87300000000008,0.4005456451333234,1.0,1.6094379124341003
5.0,48,15.172943472862244,0.0,196.59569892473115,0.5147745366701145,-128.10000000000002,0.0,1.0,1.6094379124341003
5.0,49,175.89717358350754,1.362962962962963,157.2978494623656,0.0360338599047991,468.7719999999997,2.956303887067044,1.0,1.6094379124341003
5.0,50,0.0,0.0,196.59569892473115,0.5147745366701145,-128.10000000000002,0.0,1.0,1.6094379124341003
5.0,51,27.502894401550293,0.4125925925925925,191.28064516129035,0.5131694002335174,-122.2372,0.2657198760305402,1.0,1.6094379124341003
7.0,42,134.2391073703766,1.6933333333333334,157.8268817204301,0.213600111155013,259.7004000000002,2.273961848469119,1.0,1.9459101490553132
7.0,44,41.48794710636139,0.4148148148148148,190.73655913978496,0.4565709341976277,-64.56759999999996,0.143045875404142,1.0,1.9459101490553132
7.0,43,42.600780725479126,1.834074074074074,166.89462365591396,0.2070787737968968,199.71420000000003,2.796199570141121,1.0,1.9459101490553132
7.0,45,64.60767984390259,0.2674074074074074,189.99569892473124,0.4507201671703303,-48.46320000000001,0.0493137316494912,1.0,1.9459101490553132
7.0,46,74.50516521930695,0.0725925925925926,193.70967741935485,0.4819527661875198,-91.88179999999991,0.0040885832745302,1.0,1.9459101490553132
7.0,47,16.324132680892944,0.0,196.59569892473115,0.5147745366701145,-128.10000000000002,0.0,1.0,1.9459101490553132
7.0,48,134.37318056821823,0.6666666666666666,172.7537634408602,0.213600111155013,188.67800000000005,0.7072915136236727,1.0,1.9459101490553132
7.0,49,28.331458568573,0.6948148148148148,184.5096774193549,0.4159086824601721,9.220800000000017,0.6061805983627391,1.0,1.9459101490553132
7.0,50,0.0,0.1296296296296296,194.93978494623656,0.5147745366701145,-126.77000000000002,0.0267417316107715,1.0,1.9459101490553132
7.0,51,0.0,0.0,196.59569892473115,0.5147745366701145,-128.10000000000002,0.0,1.0,1.9459101490553132
10.0,42,51.8561452627182,1.1555555555555554,179.96129032258062,0.3405769779389817,56.22240000000012,1.1159325834757765,1.0,2.302585092994046
10.0,43,36.27872467041016,0.1333333333333333,192.7967741935484,0.4845224158317461,-69.84160000000006,0.0368741042594279,1.0,2.302585092994046
10.0,44,8.993908762931824,1.2170370370370371,178.08709677419355,0.3701339605015447,30.243800000000068,1.9658797500030816,1.0,2.302585092994046
10.0,45,0.0,0.0,196.59569892473115,0.5147745366701145,-128.10000000000002,0.0,1.0,2.302585092994046
10.0,46,62.570542097091675,0.4903703703703703,189.69247311827957,0.4642803031718657,-28.04920000000004,0.0911290587321141,1.0,2.302585092994046
10.0,47,0.0,0.0,196.59569892473115,0.5147745366701145,-128.10000000000002,0.0,1.0,2.302585092994046
10.0,48,0.0,0.0,196.59569892473115,0.5147745366701145,-128.10000000000002,0.0,1.0,2.302585092994046
10.0,49,69.42550837993622,1.0785185185185184,183.47204301075269,0.3993809208703406,38.49640000000001,1.3902980041748354,1.0,2.302585092994046
10.0,51,55.26620149612427,1.1992592592592592,177.26666666666668,0.384400153114157,18.667000000000133,1.4711070045008126,1.0,2.302585092994046
10.0,50,0.0,0.4888888888888889,187.36451612903227,0.4624745235998291,56.26539999999994,0.3656353904039031,1.0,2.302585092994046
2.0,42,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,0.6931471805599453
1.0,45,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,0.0
1.0,42,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,0.0
1.0,46,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,0.0
2.0,45,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,0.6931471805599453
2.0,44,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,0.6931471805599453
2.0,43,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,0.6931471805599453
2.0,46,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,0.6931471805599453
1.0,44,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,0.0
1.0,43,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,0.0
3.0,42,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,1.0986122886681098
3.0,44,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,1.0986122886681098
3.0,46,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,1.0986122886681098
3.0,43,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,1.0986122886681098
5.0,42,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,1.6094379124341003
3.0,45,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,1.0986122886681098
5.0,43,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,1.6094379124341003
5.0,44,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,1.6094379124341003
5.0,46,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,1.6094379124341003
5.0,45,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,1.6094379124341003
10.0,42,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,2.302585092994046
10.0,44,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,2.302585092994046
10.0,43,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,2.302585092994046
10.0,45,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,2.302585092994046
10.0,46,0.0,,,0.5147745366701145,-128.10000000000002,,0.0,2.302585092994046
