phi,scale,timestep,order_qty,inventory,lost_sales,true_reward,raw_reward_mean,raw_reward_std,scaled_reward_mean,scaled_reward_std,cpt_reward_mean,cpt_reward_std
0.0,1.0,20000,0.013583831640857238,221.60555555555555,0.0,-362.73666666666674,-2.0137222222222224,7.076879572127467,-2.0137222222222224,7.076879572127467,-2.0137222222222224,7.076879572127467
0.0,1.0,40000,0.2585692315189927,220.04444444444445,0.0,-365.03000000000003,-2.0485555555555557,7.063417013994024,-2.0485555555555557,7.063417013994024,-2.0485555555555557,7.063417013994024
0.0,1.0,60000,0.22736707903720715,220.2314814814815,0.0,-364.9400000000001,-2.0169444444444444,6.826447335117718,-2.0169444444444444,6.826447335117718,-2.0169444444444444,6.826447335117718
0.0,1.0,80000,0.2196343170271979,220.17222222222222,0.0,-364.3866666666667,-2.0306666666666664,7.313593386442961,-2.0306666666666664,7.313593386442961,-2.0306666666666664,7.313593386442961
0.0,1.0,100000,0.2251484168900384,220.19814814814816,0.0,-366.0600000000001,-2.0337222222222224,7.04825406517699,-2.0337222222222224,7.04825406517699,-2.0337222222222224,7.04825406517699
0.0,10.0,20000,0.002620682617028554,221.60555555555555,0.0,-362.73666666666674,-2.0137222222222224,7.076879572127467,-0.20137222222222226,0.7076879572127468,-0.20137222222222226,0.7076879572127468
0.0,10.0,40000,0.08378618795562673,221.51111111111112,0.0,-364.0600000000001,-2.043166666666667,7.0851798750004304,-0.2043166666666667,0.7085179875000429,-0.2043166666666667,0.7085179875000429
0.0,10.0,60000,0.0011408884975093383,221.69814814814816,0.0,-363.9700000000001,-2.0115555555555558,6.848938346133348,-0.2011555555555556,0.6848938346133348,-0.2011555555555556,0.6848938346133348
0.0,10.0,80000,0.16751079653838166,221.57777777777778,0.0,-363.5556666666668,-2.0260499999999997,7.333451256835958,-0.20260500000000004,0.7333451256835958,-0.20260500000000004,0.7333451256835958
0.0,10.0,100000,0.050794637975869354,221.6648148148148,0.0,-365.09000000000015,-2.0283333333333333,7.070052294321766,-0.20283333333333337,0.7070052294321765,-0.20283333333333337,0.7070052294321765
0.0,100.0,20000,0.0,221.60555555555555,0.0,-362.73666666666674,-2.0137222222222224,7.076879572127467,-0.020137222222222226,0.07076879572127469,-0.020137222222222226,0.07076879572127469
0.0,100.0,40000,0.008058863181482863,221.51111111111112,0.0,-364.0600000000001,-2.043166666666667,7.0851798750004304,-0.020431666666666667,0.07085179875000429,-0.020431666666666667,0.07085179875000429
0.0,100.0,60000,0.0,221.69814814814816,0.0,-363.9700000000001,-2.0115555555555558,6.848938346133348,-0.020115555555555557,0.06848938346133349,-0.020115555555555557,0.06848938346133349
0.0,100.0,80000,0.16463879258544356,221.06851851851854,0.0,-364.1230000000001,-2.0292277777777783,7.325787630639343,-0.02029227777777778,0.07325787630639344,-0.02029227777777778,0.07325787630639344
0.0,100.0,100000,0.18541245416358665,220.7888888888889,0.0,-366.31433333333325,-2.0351666666666666,7.060074869370091,-0.02035166666666667,0.07060074869370092,-0.02035166666666667,0.07060074869370092
1.0,1.0,20000,0.006046965304348204,221.60555555555555,0.0,-362.73666666666674,-2.0137222222222224,7.076879572127467,-2.0137222222222224,7.076879572127467,-14.38261111111111,11.42045238274488
1.0,1.0,40000,0.001685698182080631,221.51111111111112,0.0,-364.0600000000001,-2.043166666666667,7.0851798750004304,-2.043166666666667,7.0851798750004304,-14.4765,11.394070898449286
1.0,1.0,60000,0.005719487879563261,221.69814814814816,0.0,-363.9700000000001,-2.0115555555555558,6.848938346133348,-2.0115555555555558,6.848938346133348,-14.327111111111112,11.334893004880934
1.0,1.0,80000,0.0,221.63888888888889,0.0,-363.4166666666667,-2.025277777777778,7.334600832171027,-2.025277777777778,7.334600832171027,-14.423055555555557,11.570761479657932
1.0,1.0,100000,0.0,221.6648148148148,0.0,-365.09000000000015,-2.0283333333333333,7.070052294321766,-2.0283333333333333,7.070052294321766,-14.430555555555555,11.405778151748946
1.0,10.0,20000,0.0,221.60555555555555,0.0,-362.73666666666674,-2.0137222222222224,7.076879572127467,-0.20137222222222226,0.7076879572127468,-1.4382611111111112,1.142045238274488
1.0,10.0,40000,0.0,221.51111111111112,0.0,-364.0600000000001,-2.043166666666667,7.0851798750004304,-0.2043166666666667,0.7085179875000429,-1.4476499999999999,1.1394070898449282
1.0,10.0,60000,0.0,221.69814814814816,0.0,-363.9700000000001,-2.0115555555555558,6.848938346133348,-0.2011555555555556,0.6848938346133348,-1.4327111111111113,1.1334893004880935
1.0,10.0,80000,0.0,221.63888888888889,0.0,-363.4166666666667,-2.025277777777778,7.334600832171027,-0.20252777777777783,0.7334600832171029,-1.4423055555555555,1.1570761479657932
1.0,10.0,100000,0.0,221.6648148148148,0.0,-365.09000000000015,-2.0283333333333333,7.070052294321766,-0.20283333333333337,0.7070052294321765,-1.4430555555555555,1.1405778151748944
1.0,100.0,20000,0.028948960646435068,221.60555555555555,0.0,-362.73666666666674,-2.0137222222222224,7.076879572127467,-0.020137222222222226,0.07076879572127469,-0.14382611111111113,0.11420452382744879
1.0,100.0,40000,0.0,221.51111111111112,0.0,-364.0600000000001,-2.043166666666667,7.0851798750004304,-0.020431666666666667,0.07085179875000429,-0.14476500000000003,0.11394070898449282
1.0,100.0,60000,0.0,221.69814814814816,0.0,-363.9700000000001,-2.0115555555555558,6.848938346133348,-0.020115555555555557,0.06848938346133349,-0.14327111111111113,0.11334893004880935
1.0,100.0,80000,0.0,221.63888888888889,0.0,-363.4166666666667,-2.025277777777778,7.334600832171027,-0.02025277777777778,0.07334600832171029,-0.14423055555555556,0.1157076147965793
1.0,100.0,100000,0.0,221.6648148148148,0.0,-365.09000000000015,-2.0283333333333333,7.070052294321766,-0.020283333333333334,0.07070052294321764,-0.14430555555555558,0.11405778151748945
