lambda,timestep,order_qty,inventory,backlog,true_reward
1.0,5000,0.22544453,56.56881720430108,0.0,-275.1394503057801
1.0,10000,0.62600994,57.146833930704894,0.0,-289.36844411030967
1.0,15000,0.5812799,57.019115890083626,0.0,-286.56155981122424
1.0,20000,0.40817448,56.962007168458776,0.0,-286.0419639085947
1.0,25000,1.1454467,51.06941457586618,0.0,-84.27646240107595
1.0,30000,1.5384643,48.07562724014337,0.0,-10.811048895728732
1.0,35000,1.2075244,47.551254480286744,0.0,-8.048123302675789
1.0,40000,1.4608212,46.73488649940263,0.0,11.723527670504017
1.0,45000,1.3715942,45.89020310633214,0.0,25.65707094993323
1.0,50000,1.2521259,46.145400238948625,0.0,9.936660304843619
1.0,55000,2.1062984,42.84241338112306,0.0,84.47580428116436
1.0,60000,2.127674,44.94994026284349,0.0,38.27493685550289
1.0,65000,2.4030395,43.329988052568694,0.0,73.51581943816682
1.0,70000,2.2929437,43.18243727598566,0.0,79.78254358255121
1.0,75000,2.5256696,42.16511350059737,0.0,103.19515970963982
1.0,80000,2.5950344,43.02951015531661,0.0,87.6976464569264
1.0,85000,2.3847682,43.12664277180406,0.0,78.3682193362343
1.0,90000,2.2930303,42.91553166069295,0.0,82.88504825560322
1.0,95000,2.5660663,41.447072879330946,0.0,107.77719217542561
1.0,100000,2.503053,41.60143369175628,0.0,112.32585024189628
1.0,105000,1.550425,43.73225806451613,0.0,60.07050150420124
1.0,110000,2.0222423,43.36810035842294,0.0,73.79612190194237
1.0,115000,2.6156478,42.385185185185186,0.0,100.35157606709295
1.0,120000,2.5833173,42.55459976105138,0.0,88.1153831806875
1.0,125000,1.9977506,43.97479091995221,0.0,63.68130580665596
1.0,130000,2.066935,43.55017921146954,0.0,61.726464342662716
1.0,135000,2.3762007,43.475866188769416,0.0,73.53906113036116
1.0,140000,2.341411,43.569295101553166,0.0,72.91348259036711
1.0,145000,1.7228245,43.475388291517326,0.0,62.79784316820653
1.0,150000,2.0037904,43.30465949820789,0.0,69.1198055712111
2.0,5000,1.1151237,55.60047789725209,0.0,-293.4689986511102
2.0,10000,1.031864,56.41744324970131,0.0,-293.5827075398068
2.0,15000,0.8100813,55.921027479092,0.0,-290.00318062269935
2.0,20000,0.4525812,56.01636798088411,0.0,-274.6525346497309
2.0,25000,1.0123477,53.78399044205494,0.0,-236.37615765666126
2.0,30000,1.085349,53.456869772998814,0.0,-231.39419649482207
2.0,35000,1.0925959,53.6747909199522,0.0,-249.23634834910385
2.0,40000,0.9050643,54.77419354838711,0.0,-285.7745505737309
2.0,45000,1.0908327,53.2126642771804,0.0,-226.755085932267
2.0,50000,1.2148286,53.043727598566306,0.0,-219.47769929722213
2.0,55000,0.6060431,54.55268817204303,0.0,-208.67302549340909
2.0,60000,0.7094964,52.15483870967742,0.0,-141.90526071107504
2.0,65000,1.0850841,50.426284348865,0.0,-93.44680121445873
2.0,70000,1.4480572,48.59462365591397,0.0,-46.12813289647793
2.0,75000,1.6715497,47.97753882915173,0.0,-32.19103096194382
2.0,80000,2.1566443,45.18183990442055,0.0,47.40761198883706
2.0,85000,2.0133777,44.93930704898447,0.0,41.03795293796063
2.0,90000,1.5407875,48.282198327359616,0.0,-23.183166274961263
2.0,95000,2.24918,44.44145758661888,0.0,60.4216388199823
2.0,100000,1.459334,45.74886499402629,0.0,26.86402692690369
2.0,105000,1.9326562,43.9520908004779,0.0,60.3901134854215
2.0,110000,2.339129,43.628912783751495,0.0,72.5473735523983
2.0,115000,1.9575411,43.89235364396655,0.0,63.55677234257658
2.0,120000,1.9513798,47.18410991636799,0.0,-28.056869379117742
2.0,125000,1.556533,46.467025089605734,0.0,15.34637675207973
2.0,130000,1.7216593,44.07407407407407,0.0,57.27955071347185
2.0,135000,2.3084025,44.38853046594982,0.0,60.822073221965525
2.0,140000,2.3138394,44.98088410991637,0.0,40.556136318020634
2.0,145000,2.3541868,45.13345280764636,0.0,46.04231734222278
2.0,150000,2.473464,43.85089605734767,0.0,68.92972923540339
5.0,5000,0.3578677,55.959498207885304,0.0,-279.8876889603491
5.0,10000,0.4439848,55.98554360812425,0.0,-278.81053295027164
5.0,15000,0.365321,55.87933094384707,0.0,-275.937481479066
5.0,20000,0.50054026,55.395698924731185,0.0,-278.41602897766256
5.0,25000,0.41439226,55.2678614097969,0.0,-278.67905656953457
5.0,30000,0.44045255,55.21935483870968,0.0,-280.32380261650184
5.0,35000,0.55705154,55.02915173237752,0.0,-286.62235675872955
5.0,40000,0.85049564,54.63201911589009,0.0,-285.4517756656591
5.0,45000,0.75734764,54.883154121863804,0.0,-286.19786589833546
5.0,50000,1.1195425,53.1847072879331,0.0,-217.8756129670063
5.0,55000,1.5003232,52.47395459976104,0.0,-222.85904802070186
5.0,60000,0.60882765,55.035722819593786,0.0,-252.87917152418504
5.0,65000,0.4205467,55.3510155316607,0.0,-273.4289181166935
5.0,70000,0.18743305,56.24026284348865,0.0,-269.38711912490385
5.0,75000,0.8377208,52.98446833930705,0.0,-148.43291632116367
5.0,80000,1.054376,53.134886499402626,0.0,-178.05655782171877
5.0,85000,1.0501028,53.50991636798088,0.0,-201.7385513449946
5.0,90000,1.2356251,53.63452807646356,0.0,-224.78150631060723
5.0,95000,0.9190603,54.425209080047786,0.0,-285.3072754555099
5.0,100000,0.6453462,55.73500597371565,0.0,-277.37020052821237
5.0,105000,0.7863041,55.471087216248506,0.0,-270.35857862683275
5.0,110000,0.9894696,54.64719235364397,0.0,-281.75463597459566
5.0,115000,1.0980939,52.97718040621267,0.0,-222.66570557184397
5.0,120000,0.88113105,53.9989247311828,0.0,-212.20377612309832
5.0,125000,0.7963014,54.190561529271214,0.0,-212.36150745393596
5.0,130000,0.852128,54.63691756272402,0.0,-217.25212725939923
5.0,135000,0.92939556,54.168697729988054,0.0,-208.16456508480078
5.0,140000,0.7143504,54.38148148148149,0.0,-214.160908593154
5.0,145000,1.0798055,55.132616487455195,0.0,-223.25620234202748
5.0,150000,1.2095764,55.48530465949821,0.0,-262.26924014438686
10.0,5000,0.9269919,55.28064516129032,0.0,-254.44058304594355
10.0,10000,1.4860812,54.515770609319006,0.0,-226.23211881286838
10.0,15000,0.8616745,54.44647550776582,0.0,-205.7596336487957
10.0,20000,0.85222185,53.14719235364397,0.0,-153.05737465738557
10.0,25000,1.0437077,51.72974910394266,0.0,-107.72673780921497
10.0,30000,0.8374718,52.80692951015532,0.0,-147.02100148780087
10.0,35000,1.2364599,50.571804062126645,0.0,-69.86740564701329
10.0,40000,1.3398389,48.75280764635603,0.0,-28.754364062843432
10.0,45000,1.4059292,48.18876941457586,0.0,-11.892517492561694
10.0,50000,1.5844324,47.05854241338113,0.0,7.109945630570665
10.0,55000,1.4144788,46.73034647550776,0.0,12.449822410531675
10.0,60000,1.2558546,47.08912783751494,0.0,0.8115310773244664
10.0,65000,2.0442607,45.39247311827957,0.0,42.142358094543965
10.0,70000,1.6470274,46.35424133811231,0.0,11.674509230880206
10.0,75000,1.5393059,47.970370370370354,0.0,-7.5618064156451785
10.0,80000,1.7656032,46.827479091995215,0.0,4.809177074657171
10.0,85000,2.4360955,45.0626045400239,0.0,49.20161852548569
10.0,90000,1.7813624,46.763679808841104,0.0,19.87003968342888
10.0,95000,2.2535367,46.043966547192355,0.0,29.35113164579518
10.0,100000,2.041952,45.670728793309436,0.0,38.834835136900715
10.0,105000,2.1263494,45.989008363201904,0.0,24.90716192762865
10.0,110000,1.8072605,46.482317801672636,0.0,19.600733521874044
10.0,115000,1.5430921,47.351373954599765,0.0,2.4193425376674766
10.0,120000,1.8530117,45.947789725209084,0.0,32.66271372726194
10.0,125000,2.038914,46.09318996415771,0.0,24.16537214457448
10.0,130000,2.06605,46.06379928315411,0.0,20.644837375367654
10.0,135000,1.2280211,47.57347670250896,0.0,-9.448680616809666
10.0,140000,1.7296174,46.73333333333334,0.0,13.814958899449417
10.0,145000,1.9899182,44.78195937873357,0.0,54.42088663735689
10.0,150000,1.7686306,46.376344086021504,0.0,24.41628643833975
